#Time (MET)	Delta_Time	Flux(ph cm-2 s-1)	Delta_Flux
349185256.4	0.0	4.3800291739638216e-12	0.009
349710741.2	0.0	4.758575926784582e-12	0.008
349966226.0	0.0	5.080155468092526e-12	0.009
351514600.4	0.0	4.92353470147652e-12	0.008
351780194.0	0.0	5.428464514368572e-12	0.012
352470875.6	0.0	5.789979195261609e-12	0.013
352899074.0	0.0	5.9467133300716815e-12	0.016
354719003.6	0.0	4.408359493662822e-12	0.049
356615310.8	0.0	6.948275072218523e-12	0.01
356874856.4	0.0	7.083974728477742e-12	0.009
357219160.4	0.0	6.967500414302456e-12	0.011
357474731.6	0.0	7.583627682560698e-12	0.023
358250517.2	0.0	7.2423082119923816e-12	0.018
358509717.2	0.0	7.090502315924978e-12	0.011
358769090.0	0.0	7.123230587583759e-12	0.01
359028376.4	0.0	7.541834592170222e-12	0.01
359284811.6	0.0	6.598982903597959e-12	0.01
359542542.8	0.0	7.803276631216201e-12	0.008
359804594.0	0.0	7.343058755153334e-12	0.01
360064398.8	0.0	6.859255863899302e-12	0.015
360151576.4	0.0	7.269039071304895e-12	0.01
360237976.4	0.0	6.973920675523912e-12	0.016
360668248.4	0.0	7.077453150392886e-12	0.014
360840789.2	0.0	7.031969901875255e-12	0.01
360926757.2	0.0	6.777616684677575e-12	0.011
361269333.2	0.0	6.967500414302456e-12	0.012
361356165.2	0.0	6.884572903456222e-12	0.01
361613723.6	0.0	6.954677618088575e-12	0.01
361870072.4	0.0	7.235640870516823e-12	0.008
362216882.0	0.0	6.5868383168795975e-12	0.011
362477896.4	0.0	7.057924417015276e-12	0.011
363166246.2	0.0	6.666179492232871e-12	0.015
363423372.6	0.0	6.24995662326599e-12	0.02
363682918.2	0.0	6.395536814646781e-12	0.019
363940476.6	0.0	6.929102778395268e-12	0.015
364200454.2	0.0	6.496463507107954e-12	0.012
364458876.6	0.0	6.82145475968757e-12	0.011
364976067.0	0.0	6.871902724753469e-12	0.014
365233884.6	0.0	6.232711191339587e-12	0.014
365490406.2	0.0	6.941878420596325e-12	0.019
365751939.0	0.0	6.102067440806585e-12	0.032
366181260.6	0.0	6.158529175668621e-12	0.02
366441151.8	0.0	6.232711191339587e-12	0.02
366697587.0	0.0	5.974162111649026e-12	0.009
381237583.8	0.0	7.948350375160763e-12	0.017
381586467.0	0.0	8.446504216745233e-12	0.012
382111779.0	0.0	6.752692961432293e-12	0.014
382456687.8	0.0	5.8381735795273946e-12	0.014
382802201.4	0.0	5.795314419759632e-12	0.011
384180195.0	0.0	5.300013834238828e-12	0.014
384525103.8	0.0	5.726338320609999e-12	0.008
384782835.0	0.0	5.39357849035264e-12	0.011
385215180.6	0.0	5.261105409095477e-12	0.011
385559484.6	0.0	5.165079413390797e-12	0.017
385642255.8	0.0	4.63742611343993e-12	0.012
385904393.4	0.0	4.7629607561603175e-12	0.033
387281091.0	0.0	4.363922238441054e-12	0.007
387800441.4	0.0	4.339872825125632e-12	0.01
388318236.6	0.0	3.547129165572035e-12	0.011
389005375.8	0.0	4.102768412649435e-12	0.02
389264835.0	0.0	3.8821919365266495e-12	0.01
389523343.8	0.0	3.5733619054395727e-12	0.009
389780729.4	0.0	4.031595977441393e-12	0.011
389865919.8	0.0	3.697234553585057e-12	0.012
390126675.0	0.0	3.936198606059492e-12	0.016
390385011.0	0.0	3.673474277896147e-12	0.01
390730351.8	0.0	3.649866697605008e-12	0.01
391677555.0	0.0	3.896520838782925e-12	0.012
391936063.8	0.0	3.825401318409641e-12	0.021
392201052.6	0.0	3.3750250703932765e-12	0.012
392460511.8	0.0	3.208315010625976e-12	0.011
392719798.2	0.0	3.109402928177735e-12	0.017
393147046.2	0.0	2.875259209724116e-12	0.009
394013465.4	0.0	3.5275810685334094e-12	0.024
394267654.2	0.0	3.5766546094951872e-12	0.011
394527286.2	0.0	3.690430264755993e-12	0.021
394785622.2	0.0	3.896520838782925e-12	0.021
395131049.4	0.0	3.892933662672989e-12	0.016
395388348.6	0.0	4.053937074033198e-12	0.022
395643142.2	0.0	4.209950632965202e-12	0.014
413902227.0	0.0	4.288219458871334e-12	0.012
414330339.0	0.0	4.436873055751855e-12	0.013
414680259.0	0.0	4.767349625973561e-12	0.018
414937212.6	0.0	4.754195134126676e-12	0.009
416405839.8	0.0	5.150827470411465e-12	0.017
417357276.6	0.0	5.37869605255318e-12	0.012
418222659.0	0.0	4.8649345646870936e-12	0.035
418481081.4	0.0	4.92353470147652e-12	0.014
418738726.2	0.0	5.37869605255318e-12	0.015
418995766.2	0.0	4.802606487722368e-12	0.017
419687225.4	0.0	4.798185160089092e-12	0.02
420034207.8	0.0	4.896401284669594e-12	0.013
420378857.4	0.0	4.658831499811129e-12	0.012
420634860.6	0.0	5.2562619827630606e-12	0.013
421152223.8	0.0	4.793767902774298e-12	0.012
421413583.8	0.0	4.327897864996096e-12	0.013
422102451.0	0.0	4.144546372270878e-12	0.016
422358972.6	0.0	4.506890465605811e-12	0.012
422617481.4	0.0	4.556978748052864e-12	0.022
422877718.2	0.0	4.599143953262473e-12	0.015
423137004.6	0.0	4.50274137710424e-12	0.025
423395081.4	0.0	4.1944691371335645e-12	0.013
423653676.6	0.0	4.523525086978803e-12	0.014
424516207.8	0.0	4.244993242222099e-12	0.017
424773334.2	0.0	4.4002464700440806e-12	0.013
425031065.4	0.0	4.780540515286436e-12	0.015
