#Time (MET)	Delta_Time	Flux(ph cm-2 s-1)	Delta_Flux
349185256.4	0.0	0.7586643960083516	0.009
349710741.2	0.0	0.824232439549437	0.008
349966226.0	0.0	0.8799331983309696	0.009
351514600.4	0.0	0.8528049316944336	0.008
351780194.0	0.0	0.9402637718778398	0.012
352470875.6	0.0	1.002881692018235	0.013
352899074.0	0.0	1.0300295951478313	0.016
354719003.6	0.0	0.7635714877261254	0.049
356615310.8	0.0	1.2035099999560168	0.01
356874856.4	0.0	1.2270145232515257	0.009
357219160.4	0.0	1.2068400194515174	0.011
357474731.6	0.0	1.3135593592714387	0.023
358250517.2	0.0	1.2544394494032902	0.018
358509717.2	0.0	1.2281451659918723	0.011
358769090.0	0.0	1.233814026509515	0.01
359028376.4	0.0	1.3063203824475198	0.01
359284811.6	0.0	1.143009139890477	0.01
359542542.8	0.0	1.3516047307397734	0.008
359804594.0	0.0	1.2718904404672482	0.01
360064398.8	0.0	1.1880909921754075	0.015
360151576.4	0.0	1.2590694987544822	0.01
360237976.4	0.0	1.2079520722275001	0.016
360668248.4	0.0	1.2258849213922096	0.014
360840789.2	0.0	1.2180067726642871	0.01
360926757.2	0.0	1.1739502784644031	0.011
361269333.2	0.0	1.2068400194515174	0.012
361356165.2	0.0	1.192476153954316	0.01
361613723.6	0.0	1.2046189842578319	0.01
361870072.4	0.0	1.2532845998822861	0.008
362216882.0	0.0	1.1409055772927148	0.011
362477896.4	0.0	1.222502351522401	0.011
363166246.2	0.0	1.1546482539935439	0.015
363423372.6	0.0	1.0825543343076494	0.02
363682918.2	0.0	1.1077702640601759	0.019
363940476.6	0.0	1.2001891689442108	0.015
364200454.2	0.0	1.1252517659260375	0.012
364458876.6	0.0	1.1815434668608011	0.011
364976067.0	0.0	1.190281553623802	0.014
365233884.6	0.0	1.0795672548438597	0.014
365490406.2	0.0	1.2024020365962569	0.019
365751939.0	0.0	1.0569384644514228	0.032
366181260.6	0.0	1.0667181956530587	0.02
366441151.8	0.0	1.0795672548438597	0.02
366697587.0	0.0	1.0347839957395735	0.009
381237583.8	0.0	1.3767329387847367	0.017
381586467.0	0.0	1.4630181136852733	0.012
382111779.0	0.0	1.169633242962777	0.014
382456687.8	0.0	1.0112294362860907	0.014
382802201.4	0.0	1.0038058056966148	0.011
384180195.0	0.0	0.9180148429810254	0.014
384525103.8	0.0	0.991858462763049	0.008
384782835.0	0.0	0.9342211672996543	0.011
385215180.6	0.0	0.911275518723442	0.011
385559484.6	0.0	0.8946428660312084	0.017
385642255.8	0.0	0.8032480930263598	0.012
385904393.4	0.0	0.8249919353878933	0.033
387281091.0	0.0	0.7558745153877923	0.007
387800441.4	0.0	0.7517089190178511	0.01
388318236.6	0.0	0.6143978724979479	0.011
389005375.8	0.0	0.7106400884832409	0.02
389264835.0	0.0	0.6724340600791192	0.01
389523343.8	0.0	0.6189416426320722	0.009
389780729.4	0.0	0.698312318410265	0.011
389865919.8	0.0	0.6403976110867756	0.012
390126675.0	0.0	0.6817885496713603	0.016
390385011.0	0.0	0.6362820962149407	0.01
390730351.8	0.0	0.6321930296970145	0.01
391677555.0	0.0	0.6749159677431912	0.012
391936063.8	0.0	0.66259736304322	0.021
392201052.6	0.0	0.5845877401373009	0.012
392460511.8	0.0	0.5557119080872106	0.011
392719798.2	0.0	0.5385793566113918	0.017
393147046.2	0.0	0.49802334757937716	0.009
394013465.4	0.0	0.6110119486504361	0.024
394267654.2	0.0	0.6195119715578328	0.011
394527286.2	0.0	0.6392190409289662	0.021
394785622.2	0.0	0.6749159677431912	0.021
395131049.4	0.0	0.6742946333436403	0.016
395388348.6	0.0	0.7021820174188329	0.022
395643142.2	0.0	0.7292051096758069	0.014
413902227.0	0.0	0.7427620448408347	0.012
414330339.0	0.0	0.7685103188391489	0.013
414680259.0	0.0	0.8257521310701084	0.018
414937212.6	0.0	0.8234736429104549	0.009
416405839.8	0.0	0.8921742884754623	0.017
417357276.6	0.0	0.9316433818019286	0.012
418222659.0	0.0	0.8426548081181736	0.035
418481081.4	0.0	0.8528049316944336	0.014
418738726.2	0.0	0.9316433818019286	0.015
418995766.2	0.0	0.8318589684132949	0.017
419687225.4	0.0	0.8310931507154601	0.02
420034207.8	0.0	0.8481051554016561	0.013
420378857.4	0.0	0.8069557177652915	0.012
420634860.6	0.0	0.9104365893539905	0.013
421152223.8	0.0	0.8303280380370646	0.012
421413583.8	0.0	0.7496347374238329	0.013
422102451.0	0.0	0.7178764445082351	0.016
422358972.6	0.0	0.780638027091112	0.012
422617481.4	0.0	0.7893138132652483	0.022
422877718.2	0.0	0.7966172440581458	0.015
