#Time (MET)	Delta_Time	Flux(ph cm-2 s-1)	Delta_Flux
55951.496	0	14.139	0.009
55957.578	0	14.049	0.008
55960.535	0	13.978	0.009
55978.456	0	14.012	0.008
55981.53	0	13.906	0.012
55989.524	0	13.836	0.013
55994.48	0	13.807	0.016
56015.544	0	14.132	0.049
56037.492	0	13.638	0.01
56040.496	0	13.617	0.009
56044.481	0	13.635	0.011
56047.439	0	13.543	0.023
56056.418	0	13.593	0.018
56059.418	0	13.616	0.011
56062.42	0	13.611	0.01
56065.421	0	13.549	0.01
56068.389	0	13.694	0.01
56071.372	0	13.512	0.008
56074.405	0	13.578	0.01
56077.412	0	13.652	0.015
56078.421	0	13.589	0.01
56079.421	0	13.634	0.016
56084.401	0	13.618	0.014
56086.398	0	13.625	0.01
56087.393	0	13.665	0.011
56091.358	0	13.635	0.012
56092.363	0	13.648	0.01
56095.344	0	13.637	0.01
56098.311	0	13.594	0.008
56102.325	0	13.696	0.011
56105.346	0	13.621	0.011
56113.313	0	13.683	0.015
56116.289	0	13.753	0.02
56119.293	0	13.728	0.019
56122.274	0	13.641	0.015
56125.283	0	13.711	0.012
56128.274	0	13.658	0.011
56134.26	0	13.65	0.014
56137.244	0	13.756	0.014
56140.213	0	13.639	0.019
56143.24	0	13.779	0.032
56148.209	0	13.769	0.02
56151.217	0	13.756	0.02
56154.185	0	13.802	0.009
56322.472	0	13.492	0.017
56326.51	0	13.426	0.012
56332.59	0	13.669	0.014
56336.582	0	13.827	0.014
56340.581	0	13.835	0.011
56356.53	0	13.932	0.014
56360.522	0	13.848	0.008
56363.505	0	13.913	0.011
56368.509	0	13.94	0.011
56372.494	0	13.96	0.017
56373.452	0	14.077	0.012
56376.486	0	14.048	0.033
56392.42	0	14.143	0.007
56398.431	0	14.149	0.01
56404.424	0	14.368	0.011
56412.377	0	14.21	0.02
56415.38	0	14.27	0.01
56418.372	0	14.36	0.009
56421.351	0	14.229	0.011
56422.337	0	14.323	0.012
56425.355	0	14.255	0.016
56428.345	0	14.33	0.01
56432.342	0	14.337	0.01
56443.305	0	14.266	0.012
56446.297	0	14.286	0.021
56449.364	0	14.422	0.012
56452.367	0	14.477	0.011
56455.368	0	14.511	0.017
56460.313	0	14.596	0.009
56470.341	0	14.374	0.024
56473.283	0	14.359	0.011
56476.288	0	14.325	0.021
56479.278	0	14.266	0.021
56483.276	0	14.267	0.016
56486.254	0	14.223	0.022
56489.203	0	14.182	0.014
56700.535	0	14.162	0.012
56705.49	0	14.125	0.013
56709.54	0	14.047	0.018
56712.514	0	14.05	0.009
56729.512	0	13.963	0.017
56740.524	0	13.916	0.012
56750.54	0	14.025	0.035
56753.531	0	14.012	0.014
56756.513	0	13.916	0.015
56759.488	0	14.039	0.017
56767.491	0	14.04	0.02
56771.507	0	14.018	0.013
56775.496	0	14.072	0.012
56778.459	0	13.941	0.013
56784.447	0	14.041	0.012
56787.472	0	14.152	0.013
56795.445	0	14.199	0.016
56798.414	0	14.108	0.012
56801.406	0	14.096	0.022
56804.418	0	14.086	0.015
56807.419	0	14.109	0.025
56810.406	0	14.186	0.013
56813.399	0	14.104	0.014
56823.382	0	14.173	0.017
56826.358	0	14.134	0.013
56829.341	0	14.044	0.015
56832.31	0	13.906	0.017
56835.332	0	13.964	0.011
56838.326	0	13.906	0.01
56843.289	0	13.986	0.017
57078.582	0	13.809	0.031
57086.562	0	13.727	0.018
57094.56	0	13.617	0.017
57106.55	0	13.78	0.023
57112.521	0	13.763	0.02
57113.53	0	13.716	0.013
57123.516	0	13.651	0.022
57131.504	0	13.613	0.014
57135.484	0	13.679	0.014
57138.48	0	13.717	0.014
57141.506	0	13.717	0.016
57153.456	0	13.728	0.02
57160.46	0	13.872	0.02
57163.428	0	13.859	0.019
57166.457	0	13.83	0.015
57169.431	0	13.706	0.024
57179.376	0	13.802	0.018
57182.366	0	13.753	0.016
57185.378	0	13.882	0.014
57188.341	0	13.876	0.022
57193.357	0	13.921	0.021
57196.358	0	14.03	0.015
57199.298	0	14.166	0.014
57209.266	0	14.073	0.013
57215.221	0	14.056	0.016
57220.215	0	13.996	0.013
57467.559	0	14.229	0.038
57478.544	0	14.276	0.026
57481.541	0	14.216	0.023
57495.516	0	14.182	0.013
57498.512	0	14.116	0.012
57505.507	0	14.052	0.026
57508.504	0	13.995	0.014
57517.478	0	13.82	0.013
57520.463	0	13.851	0.013
57523.47	0	13.92	0.009
57533.441	0	13.997	0.015
57537.43	0	13.982	0.019
57540.423	0	13.989	0.012
57546.397	0	14.133	0.019
57549.399	0	14.151	0.011
57552.388	0	14.072	0.015
57561.351	0	14.177	0.011
57565.349	0	14.045	0.008
57568.342	0	14.02	0.011
57571.307	0	13.923	0.01
57574.3	0	13.963	0.01
57579.261	0	14.047	0.009
57796.536	0	13.75	0.018
57824.527	0	13.949	0.02
57862.519	0	13.931	0.012
57935.293	0	13.466	0.009
57970.26	0	13.676	0.017
58221.53	0	13.662	0.018
58229.519	0	13.665	0.014
58230.517	0	13.674	0.015
58231.518	0	13.682	0.017
58232.518	0	13.729	0.02
58233.518	0	13.703	0.026
58234.516	0	13.717	0.021
58244.498	0	13.753	0.013
58248.476	0	13.826	0.011
58249.493	0	13.813	0.012
58252.485	0	13.774	0.011
58255.467	0	13.777	0.014
58258.469	0	13.78	0.013
58262.458	0	13.788	0.024
58273.418	0	13.753	0.011
58279.399	0	13.771	0.016
58283.404	0	13.78	0.013
58286.38	0	13.752	0.031
58309.332	0	13.75	0.01
58313.26	0	13.807	0.036
58316.314	0	13.772	0.013
58585.515	0	13.123	0.008
58600.492	0	13.225	0.011
58603.486	0	13.298	0.011
58608.503	0	13.309	0.013
58611.479	0	13.29	0.012
58615.476	0	13.298	0.012
58628.455	0	13.529	0.011
58634.421	0	13.553	0.012
58637.423	0	13.55	0.014
58643.393	0	13.622	0.011
58647.408	0	13.656	0.018
58653.364	0	13.545	0.015
57443.583	0	14.314	0.031
57101.558	0	13.712	0.034
58656.335	0	13.644	0.01
58659.342	0	13.631	0.014
58667.352	0	13.86	0.01
58670.314	0	13.794	0.009
58677.299	0	13.796	0.023
58680.308	0	13.809	0.016
58966.516	0	13.798	0.026
58979.476	0	13.681	0.015
58991.438	0	13.554	0.023
58994.432	0	13.654	0.01
58997.438	0	13.676	0.018
59008.419	0	13.603	0.013
59027.364	0	13.617	0.011
59034.339	0	13.625	0.019
59041.325	0	13.557	0.016
59045.307	0	13.551	0.018

