    Mjd              err        Mag         err-         err+       LimitMag Filter imagename
    55951.496150     0.02083    14.07900    -0.00845     0.00845    19.51353 CLEAR data/J1555+1111_20120125_115427_Jan2pmrs_kait_clear_c.fit
    55957.577630     0.02083    14.03700    -0.00726     0.00726    19.58292 CLEAR data/J1555+1111_20120131_135147_Jan2votw_kait_clear_c.fit
    55960.535290     0.02083    13.96300    -0.00690     0.00690    19.52847 CLEAR data/J1555+1111_20120203_125049_Feb23nrs_kait_clear_c.fit
    55974.566810     0.02083    14.03300    -0.02555     0.02555    17.57844 CLEAR data/J1555+1111_20120217_133612_Feb2homr_kait_clear_c.fit
    55978.456380     0.02083    13.98200    -0.00732     0.00732    19.87730 CLEAR data/J1555+1111_20120221_105711_Feb2llrg_kait_clear_c.fit
    55981.529660     0.02083    13.89600    -0.01034     0.01034    19.91047 CLEAR data/J1555+1111_20120224_124243_Feb2onnz_kait_clear_c.fit
    55989.523980     0.02083    13.81600    -0.01007     0.01007    20.03356 CLEAR data/J1555+1111_20120303_123432_Mar23nkf_kait_clear_c.fit
    55994.479690     0.02083    13.80600    -0.00976     0.00976    18.75594 CLEAR data/J1555+1111_20120308_113045_Mar28mgt_kait_clear_c.fit
    56015.543740     0.02083    13.79500    -0.04799     0.04799    17.17661 CLEAR data/J1555+1111_20120329_130259_Mar2tnxi_kait_clear_c.fit
    56037.491890     0.02083    13.54700    -0.00676     0.00676    19.07187 CLEAR data/J1555+1111_20120420_114819_Apr2kmov_kait_clear_c.fit
    56040.495800     0.02083    13.51000    -0.00721     0.00721    19.81925 CLEAR data/J1555+1111_20120423_115357_Apr2nmrl_kait_clear_c.fit
    56044.481110     0.02083    13.52700    -0.00854     0.00854    19.49541 CLEAR data/J1555+1111_20120427_113248_Apr2rmhr_kait_clear_c.fit
    56047.439000     0.02083    13.51200    -0.02102     0.02102    19.97525 CLEAR data/J1555+1111_20120430_103210_Apr2ulfs_kait_clear_c.fit
    56056.418180     0.02083    13.57100    -0.01611     0.01611    19.36741 CLEAR data/J1555+1111_20120509_100211_May29krw_kait_clear_c.fit
    56059.417560     0.02083    13.58500    -0.01210     0.01210    19.50180 CLEAR data/J1555+1111_20120512_100117_May2ckrm_kait_clear_c.fit
    56062.420000     0.02083    13.58400    -0.00816     0.00816    19.56805 CLEAR data/J1555+1111_20120515_100448_May2fktc_kait_clear_c.fit
    56065.421000     0.02083    13.51400    -0.00842     0.00842    19.56683 CLEAR data/J1555+1111_20120518_100614_May2iktt_kait_clear_c.fit
    56068.389460     0.02083    13.60400    -0.00817     0.00817    19.87841 CLEAR data/J1555+1111_20120521_092049_May2ljyu_kait_clear_c.fit
    56071.371480     0.02083    13.49200    -0.00812     0.00812    19.85408 CLEAR data/J1555+1111_20120524_085456_May2ojmv_kait_clear_c.fit
    56074.404700     0.02083    13.49500    -0.00950     0.00950    19.91371 CLEAR data/J1555+1111_20120527_094246_May2rkix_kait_clear_c.fit
    56077.411890     0.02083    13.56500    -0.01008     0.01008    19.78705 CLEAR data/J1555+1111_20120530_095307_May2ukns_kait_clear_c.fit
    56078.421060     0.02083    13.56100    -0.00910     0.00910    19.71407 CLEAR data/J1555+1111_20120531_100620_May2vktu_kait_clear_c.fit
    56079.421200     0.02083    13.55300    -0.01113     0.01113    19.47566 CLEAR data/J1555+1111_20120601_100632_Jun21ktx_kait_clear_c.fit
    56084.401350     0.02083    13.53300    -0.01012     0.01012    19.12538 CLEAR data/J1555+1111_20120606_093757_Jun26kgs_kait_clear_c.fit
